ReadableTime,RelativeTime(s),SerialPort2_Modbus_Modbus_slave1_seg1,SerialPort2_Modbus_Modbus_slave1_seg2,SerialPort2_Modbus_Modbus_slave1_seg3,SerialPort2_Modbus_Modbus_slave2_seg1,SerialPort2_Modbus_Modbus_slave2_seg2,SerialPort2_Modbus_Modbus_slave2_seg3,SerialPort2_Modbus_Modbus_slave2_seg4
20:20:52.995,0.098,,,,,,,
20:20:53.103,0.206,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
20:20:53.218,0.321,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
20:20:53.323,0.426,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
20:20:53.435,0.538,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
20:20:53.544,0.647,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
20:20:53.650,0.753,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
20:20:53.761,0.864,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
20:20:53.873,0.976,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
20:20:53.980,1.083,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
20:20:54.088,1.191,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
20:20:54.199,1.302,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
20:20:54.309,1.412,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
20:20:54.417,1.520,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
20:20:54.530,1.633,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
20:20:54.638,1.741,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
20:20:54.748,1.851,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
