ReadableTime,RelativeTime(s),Random_Noise_Source,Sine_Wave_Generator,Square_Wave_Test
17:02:09.181,0.070,0.526085,5.877853,2.500000
17:02:09.292,0.181,2.064892,-6.374240,-2.500000
17:02:09.400,0.289,0.242442,-9.510565,2.500000
17:02:09.512,0.401,1.008934,-9.510565,-2.500000
17:02:09.619,0.508,-0.959902,-9.510565,2.500000
17:02:09.729,0.618,2.125170,0.000000,2.500000
17:02:09.837,0.726,-0.530367,5.877853,-2.500000
17:02:09.949,0.838,0.802030,9.510565,2.500000
17:02:10.056,0.945,0.062326,5.877853,-2.500000
17:02:10.166,1.055,0.873035,5.358268,2.500000
17:02:10.275,1.164,1.712068,-0.627905,-2.500000
17:02:10.384,1.273,0.708593,-5.877853,2.500000
17:02:10.494,1.383,-0.561842,-0.627905,-2.500000
17:02:10.605,1.494,0.423363,-9.297765,2.500000
17:02:10.712,1.601,-0.531534,-9.510565,-2.500000
17:02:10.822,1.711,-1.336694,-5.877853,2.500000
17:02:10.932,1.821,0.253944,0.000000,2.500000
17:02:11.042,1.931,-0.090420,5.877853,-2.500000
17:02:11.151,2.040,1.963833,9.510565,2.500000
17:02:11.261,2.150,-1.212567,9.297765,-2.500000
17:02:11.372,2.261,0.605222,5.877853,2.500000
17:02:11.479,2.368,-0.949991,-0.000000,-2.500000
17:02:11.588,2.477,-0.152999,-6.374240,2.500000
17:02:11.700,2.589,-0.065556,-9.510565,-2.500000
17:02:11.809,2.698,-1.341344,-9.510565,2.500000
17:02:11.916,2.805,0.867142,-5.358268,-2.500000
17:02:12.027,2.916,-0.944066,0.000000,-2.500000
17:02:12.135,3.024,0.616980,5.877853,2.500000
17:02:12.244,3.133,-0.709433,-0.000000,2.500000
17:02:12.353,3.242,-0.776661,9.510565,2.500000
17:02:12.463,3.352,-0.268832,9.510565,-2.500000
17:02:12.572,3.461,-0.982726,5.877853,2.500000
17:02:12.681,3.570,0.487681,5.358268,-2.500000
17:02:12.792,3.681,-1.408941,-6.374240,2.500000
17:02:12.900,3.789,1.659276,-9.685832,-2.500000
17:02:13.011,3.900,-0.860778,-9.510565,2.500000
17:02:13.119,4.008,0.992383,-9.297765,-2.500000
17:02:13.231,4.120,2.357600,-0.000000,2.500000
17:02:13.339,4.228,-0.244831,6.374240,2.500000
17:02:13.449,4.338,0.301871,9.510565,-2.500000
17:02:13.559,4.448,2.293857,9.510565,2.500000
17:02:13.669,4.558,0.201309,5.877853,-2.500000
17:02:13.776,4.665,2.291114,-0.000000,2.500000
17:02:13.885,4.774,-0.512741,-6.374240,-2.500000
17:02:13.997,4.886,1.891527,0.000000,2.500000
17:02:14.103,4.992,-0.327114,-9.297765,-2.500000
17:02:14.212,5.101,0.281945,-9.510565,2.500000
17:02:14.322,5.211,-0.607800,-5.877853,-2.500000
17:02:14.432,5.321,0.251545,-5.877853,2.500000
17:02:14.542,5.431,0.152955,5.877853,2.500000
17:02:14.650,5.539,1.025014,9.510565,-2.500000
17:02:14.760,5.649,1.341590,9.510565,2.500000
17:02:14.872,5.761,2.031221,9.510565,-2.500000
17:02:14.979,5.868,1.779113,-0.627905,2.500000
17:02:15.089,5.978,1.884541,-5.877853,-2.500000
17:02:15.200,6.089,-0.747152,-9.510565,2.500000
17:02:15.309,6.198,-0.512410,-9.510565,-2.500000
17:02:15.418,6.307,-1.038309,-5.358268,2.500000
17:02:15.526,6.415,0.980374,0.000000,2.500000
17:02:15.635,6.524,1.011645,5.877853,-2.500000
17:02:15.748,6.637,-0.962633,5.877853,2.500000
17:02:15.853,6.742,1.448126,9.297765,-2.500000
17:02:15.963,6.852,0.495636,5.877853,2.500000
17:02:16.072,6.961,-1.226022,5.877853,-2.500000
17:02:16.182,7.071,1.032630,5.877853,2.500000
17:02:16.293,7.182,1.728638,-5.877853,-2.500000
17:02:16.400,7.289,1.704339,-9.685832,2.500000
17:02:16.511,7.400,1.750510,-9.510565,-2.500000
17:02:16.621,7.510,0.186507,-9.510565,2.500000
17:02:16.728,7.617,-1.190739,-0.000000,-2.500000
17:02:16.840,7.729,1.912731,5.877853,-2.500000
17:02:16.947,7.836,-0.444539,9.510565,2.500000
17:02:17.060,7.949,-0.388010,9.510565,-2.500000
17:02:17.166,8.055,1.627975,5.877853,2.500000
17:02:17.275,8.164,0.699684,0.000000,-2.500000
17:02:17.385,8.274,-0.548931,-5.877853,2.500000
17:02:17.496,8.385,-0.763982,0.000000,-2.500000
17:02:17.603,8.492,2.435120,-9.510565,2.500000
17:02:17.714,8.603,-0.096191,-5.877853,-2.500000
17:02:17.822,8.711,0.237696,-5.877853,2.500000
17:02:17.932,8.821,0.138011,-5.877853,-2.500000
