ReadableTime,RelativeTime(s),Engine_ECU_cylinder_temp,Engine_ECU_exhaust_temp,Engine_ECU_fuel_pressure,Engine_ECU_intake_pressure,Engine_ECU_intake_temp,Engine_ECU_rotor_temp,Engine_ECU_speed,Engine_ECU_supply_voltage,Engine_ECU_throttle_position
00:47:19.718,0.094,,,,,,,,,
00:47:19.830,0.206,-15.010000,-18.000000,5.000000,1.000000,-38.000000,-38.000000,109.000000,0.000000,1.100000
00:47:19.939,0.315,-15.010000,-18.000000,5.000000,1.000000,-38.000000,-38.000000,109.000000,0.000000,1.100000
00:47:20.048,0.424,-16.000000,-18.000000,0.000000,0.000000,-40.000000,-40.000000,0.000000,0.000000,0.000000
00:47:20.156,0.532,-16.000000,-18.000000,0.000000,0.000000,-40.000000,-40.000000,0.000000,0.000000,0.000000
00:47:20.266,0.642,-15.360000,-18.000000,4.000000,1.000000,-39.000000,-38.000000,90.000000,0.000000,0.900000
00:47:20.376,0.752,-12.490000,-18.000000,15.000000,5.000000,-35.000000,-33.000000,376.000000,1.000000,3.800000
00:47:20.489,0.865,-12.490000,-18.000000,15.000000,5.000000,-35.000000,-33.000000,376.000000,1.000000,3.800000
00:47:20.594,0.970,-6.690000,-6.000000,34.000000,10.000000,-28.000000,-24.000000,846.000000,3.000000,8.500000
00:47:20.702,1.078,-6.690000,-6.000000,34.000000,10.000000,-28.000000,-24.000000,846.000000,3.000000,8.500000
00:47:20.815,1.191,5.760000,54.000000,60.000000,18.000000,-19.000000,-12.000000,1482.000000,4.000000,14.800000
00:47:20.924,1.300,5.760000,54.000000,60.000000,18.000000,-19.000000,-12.000000,1482.000000,4.000000,14.800000
00:47:21.033,1.409,26.640000,177.750000,91.000000,27.000000,-8.000000,3.000000,2258.000000,7.000000,22.600000
00:47:21.140,1.516,26.640000,177.750000,91.000000,27.000000,-8.000000,3.000000,2258.000000,7.000000,22.600000
00:47:21.251,1.627,41.040000,270.750000,108.000000,32.000000,-2.000000,11.000000,2689.000000,8.000000,26.900000
00:47:21.361,1.737,41.040000,270.750000,108.000000,32.000000,-2.000000,11.000000,2689.000000,8.000000,26.900000
00:47:21.471,1.847,77.790000,557.750000,145.000000,43.000000,11.000000,29.000000,3616.000000,11.000000,36.200001
00:47:21.580,1.956,77.790000,557.750000,145.000000,43.000000,11.000000,29.000000,3616.000000,11.000000,36.200001
00:47:21.690,2.066,128.160000,942.750000,184.000000,55.000000,24.000000,47.000000,4598.000000,14.000000,46.000000
00:47:21.797,2.173,107.190000,1464.000000,224.000000,67.000000,38.000000,66.000000,5597.000000,17.000000,56.000000
00:47:21.909,2.285,107.190000,1464.000000,224.000000,67.000000,38.000000,66.000000,5597.000000,17.000000,56.000000
00:47:22.015,2.391,62.750000,2052.000000,263.000000,79.000000,52.000000,85.000000,6571.000000,20.000000,65.699997
00:47:22.125,2.501,62.750000,2052.000000,263.000000,79.000000,52.000000,85.000000,6571.000000,20.000000,65.699997
00:47:22.235,2.611,29.360000,2685.750000,300.000000,90.000000,65.000000,-154.000000,7483.000000,22.000000,74.800003
00:47:22.343,2.719,29.360000,2685.750000,300.000000,90.000000,65.000000,-154.000000,7483.000000,22.000000,74.800003
00:47:22.454,2.830,6.750000,3345.750000,332.000000,100.000000,76.000000,-138.000000,8295.000000,25.000000,83.000000
00:47:22.564,2.940,6.750000,3345.750000,332.000000,100.000000,76.000000,-138.000000,8295.000000,25.000000,83.000000
00:47:22.675,3.051,-0.610000,3642.000000,346.000000,104.000000,81.000000,-132.000000,8654.000000,25.500000,86.500000
00:47:22.786,3.162,-0.610000,3642.000000,346.000000,104.000000,81.000000,-132.000000,8654.000000,25.500000,86.500000
00:47:22.891,3.267,-10.410000,4206.750000,371.000000,111.000000,-166.000000,-120.000000,9259.000000,25.500000,92.599998
00:47:23.001,3.377,-10.410000,4206.750000,371.000000,111.000000,-166.000000,-120.000000,9259.000000,25.500000,92.599998
