ReadableTime,RelativeTime(s),SerialPort2_Modbus_Modbus_slave1_seg1,SerialPort2_Modbus_Modbus_slave1_seg2,SerialPort2_Modbus_Modbus_slave1_seg3,SerialPort2_Modbus_Modbus_slave2_seg1,SerialPort2_Modbus_Modbus_slave2_seg2,SerialPort2_Modbus_Modbus_slave2_seg3,SerialPort2_Modbus_Modbus_slave2_seg4
20:20:45.885,0.024,,,,,,,
20:20:45.998,0.137,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
20:20:46.104,0.243,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
20:20:46.216,0.355,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
20:20:46.327,0.466,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
20:20:46.435,0.574,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
20:20:46.541,0.680,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
20:20:46.653,0.792,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
20:20:46.760,0.899,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
20:20:46.872,1.011,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
20:20:46.979,1.118,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
20:20:47.090,1.229,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
20:20:47.200,1.339,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
20:20:47.312,1.451,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
20:20:47.419,1.558,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
20:20:47.527,1.666,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
20:20:47.638,1.777,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
20:20:47.745,1.884,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
20:20:47.854,1.993,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
20:20:47.965,2.104,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
20:20:48.077,2.216,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
20:20:48.187,2.326,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
20:20:48.290,2.429,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
20:20:48.400,2.539,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
20:20:48.510,2.649,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
20:20:48.623,2.762,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
20:20:48.728,2.867,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
20:20:48.837,2.976,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
20:20:48.948,3.087,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
20:20:49.061,3.200,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
20:20:49.166,3.305,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
20:20:49.280,3.419,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
20:20:49.386,3.525,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
20:20:49.497,3.636,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
20:20:49.605,3.744,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
20:20:49.717,3.856,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
20:20:49.828,3.967,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
20:20:49.932,4.071,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
20:20:50.042,4.181,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
20:20:50.155,4.294,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
20:20:50.260,4.399,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
20:20:50.370,4.509,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
20:20:50.479,4.618,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
20:20:50.589,4.728,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
20:20:50.698,4.837,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
20:20:50.813,4.952,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
20:20:50.916,5.055,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
20:20:51.028,5.167,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
20:20:51.136,5.275,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
20:20:51.247,5.386,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
20:20:51.355,5.494,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
20:20:51.469,5.608,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
20:20:51.573,5.712,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
20:20:51.685,5.824,10.000000,11.000000,12.000000,20.000000,21.000000,22.000000,23.000000
